Mem Type, Address, Data
RF: 16, 7
RF: 4, 268500996
RF: 4, 268500992
RF: 5, 268501004
RF: 5, 268501020
RF: 13, 1073741824
RF: 13, 1073741823
RF: 8, 10
RF: 10, 10
RF: 11, 1
RF: 4, 268500996
RF: 16, 6
RF: 13, 10
RF: 8, -47
RF: 10, 47
RF: 11, 0
RF: 4, 268501000
RF: 16, 5
RF: 8, 22
RF: 10, 22
RF: 11, 0
RF: 4, 268501004
RF: 16, 4
RF: 8, -3
RF: 10, 3
RF: 11, 1
RF: 4, 268501008
RF: 16, 3
RF: 13, 3
RF: 8, 15
RF: 10, 15
RF: 11, 0
RF: 4, 268501012
RF: 16, 2
RF: 8, 27
RF: 10, 27
RF: 11, 0
RF: 4, 268501016
RF: 16, 1
RF: 8, -4
RF: 10, 4
RF: 11, 0
RF: 4, 268501020
RF: 16, 0
DM: 268501020, 3
